"Group","Coverage"
"Total","10 of 11 (90.91%)"
"IGLJ1","1 of 1 (100%)"
"IGLJ2","1 of 1 (100%)"
"IGLJ2A","1 of 1 (100%)"
"IGLJ3","2 of 2 (100%)"
"IGLJ4","0 of 1 (0%)"
"IGLJ5","2 of 2 (100%)"
"IGLJ6","1 of 1 (100%)"
"IGLJ7","2 of 2 (100%)"
