"Group","Coverage"
"Total","10 of 10 (100%)"
"IGKJ1","1 of 1 (100%)"
"IGKJ2","4 of 4 (100%)"
"IGKJ3","1 of 1 (100%)"
"IGKJ4","3 of 3 (100%)"
"IGKJ5","1 of 1 (100%)"
