"Group","Coverage"
"Total","84 of 126 (66.67%)"
"IGLV1","18 of 19 (94.74%)"
"IGLV10","0 of 6 (0%)"
"IGLV11","0 of 2 (0%)"
"IGLV2","30 of 31 (96.77%)"
"IGLV3","29 of 31 (93.55%)"
"IGLV4","2 of 8 (25%)"
"IGLV5","0 of 13 (0%)"
"IGLV6","4 of 4 (100%)"
"IGLV7","0 of 5 (0%)"
"IGLV8","1 of 4 (25%)"
"IGLV9","0 of 3 (0%)"
