"Group","Coverage"
"Total","111 of 132 (84.09%)"
"IGKV1","31 of 50 (62%)"
"IGKV1D","18 of 19 (94.74%)"
"IGKV2","14 of 15 (93.33%)"
"IGKV2D","13 of 13 (100%)"
"IGKV3","14 of 14 (100%)"
"IGKV3D","9 of 9 (100%)"
"IGKV4","3 of 3 (100%)"
"IGKV5","2 of 2 (100%)"
"IGKV6","2 of 2 (100%)"
"IGKV6D","3 of 3 (100%)"
"IGKV7","2 of 2 (100%)"
