sample	vdj_morisita_horn	vdj_jaccard	vdj_pearson_R	vdj_sorensen_F	vdj_div1	vdj_div2	vdj_div12
S044	0.9999989199264042	0.9838234237	0.999998888372672	0.9988994520095286	13800	13793	13684
S045	0.999997269363405	0.981348637	0.9999972547492534	0.9989082733176085	39390	39327	38988
S046	0.9999859200248712	0.9850313149	0.9999820865723528	0.9993341814669608	54067	54012	53632
S047	0.9999977203767898	0.9842111329	0.9999977336846934	0.9996039440941245	8606	8611	8540
S048	0.9999942170412862	0.9819955918	0.999994063485275	0.9984790718697636	40013	40018	39652
