1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	13800	13793	11391	11391	19153190	19141250	19152360	19140790	0.9987496589693979	0.998716102285436	0.9999566651821787	0.9999759681316307	0.9999988894832433	0.9998722696665903	5.98445E-5	0.9999663166103276	0.9999637500989521	8.45371383647886E-5	4.254332275705935E-5	2.6949226414618314E-4	1.3544965355576606E-8	0.7030613505	0.999998927054539	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	13800	39390	148	148	19153190	28840923	458492	146610	0.9987496589693979	0.9953664139194154	0.02393815338332675	0.005083401803749484	0.09784678348285208	0.37709628354733804	2.723E-7	0.011031194499565087	0.005601104704631566	0.025769397068578077	0.019485425718675283	0.12478719420315215	0.006263254760724855	0.0027902417	0.0387537924573317	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	13800	39327	148	148	19153190	28824471	458492	146590	0.9987496589693979	0.9953201655843086	0.02393815338332675	0.005085609376838171	0.09786543833347916	0.3779345760094092	2.727E-7	0.011033589502534382	0.005602399550237994	0.025828732437231224	0.019501098225906184	0.12489298743654006	0.0062666256236995	0.0027935597	0.03877254103326572	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S046_SZ20250522052WHB-9_gdna_genome_2537267_amp	13800	54067	213	213	19153190	19127750	360891	121383	0.9987496589693979	0.9905275166525548	0.018842344277898375	0.006345911045470586	0.36761326201770145	0.46778612340844267	2.855E-7	0.010934890976853623	0.007295458823985776	0.01977663084138322	0.020891221405941005	0.11826407320624249	0.005948741582824035	0.0031483726	0.35334348927031384	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S046_SZ20250522052WHB-9_gdna_genome_2537267_rna	13800	54012	213	213	19153190	19113733	360891	121329	0.9987496589693979	0.9904325593526035	0.018842344277898375	0.006347739606909857	0.36770166058519566	0.4673854670424464	2.858E-7	0.010936466296745344	0.007296978519570588	0.019706224913139433	0.020842586313284964	0.11816200003955367	0.005960818682109061	0.0031509342	0.35349319544154184	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_amp	13800	8606	40	40	19153190	18053240	581367	35837	0.9987496589693979	0.9993294899911771	0.030353533797764235	0.0019850730395208835	0.7468797113794823	0.5928472268721512	3.368E-7	0.0077623438210457875	0.005211338638479726	0.05552400474862096	0.043570473546305256	0.21458901249766613	0.008590179645704878	0.0017884289	0.04946323473843323	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S047_SZ20250522068WHB-0_gdna_genome_2537268_rna	13800	8611	40	40	19153190	18045108	581367	35819	0.9987496589693979	0.9993157400174766	0.030353533797764235	0.001984970109350412	0.7467040388127497	0.5928472268721512	3.366E-7	0.0077621425715919115	0.0052105649837584775	0.05560890490588123	0.04360541189106678	0.214450701092127	0.00860959191625808	0.0017880291	0.04944346455423956	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_amp	13800	40013	165	165	19153190	24221044	410043	113988	0.9987496589693979	0.9953765887323365	0.0214086008649212	0.004706155523271409	0.5213961932627043	0.42469033142220597	2.988E-7	0.010037539798474623	0.0062096403140849766	0.04618913651241633	0.031144331665355518	0.15128170899170112	0.005694833775348995	0.0030756039	0.1526903833655404	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_amp	S048_SZ20250621039WHB-2_gdna_genome_2537269_rna	13800	40018	165	165	19153190	24200430	410043	113807	0.9987496589693979	0.9952876844382662	0.0214086008649212	0.0047026850349353305	0.5186015503562175	0.4263712927592149	2.988E-7	0.010033838094486502	0.006203970019980894	0.04617315302251405	0.031123893742863184	0.15133076667265663	0.005689227554370741	0.0030753173	0.15185295405319335	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S045_SZ20250522049WHB-1_gdna_genome_2537266_amp	13793	39390	147	147	19141250	28840923	458412	146600	0.998716102285436	0.9953664139194154	0.02394890615816628	0.005083055074208269	0.09716626561293923	0.37567896451707566	2.706E-7	0.011033295471843613	0.0056018380176121405	0.025719437056143112	0.01947304928478446	0.1248477774163714	0.006254308192363558	0.0027717022	0.03873176763078565	.	.
S044_SZ20250508032WHB-2_gdna_genome_2537265_rna	S045_SZ20250522049WHB-1_gdna_genome_2537266_rna	13793	39327	147	147	19141250	28824471	458412	146580	0.998716102285436	0.9953201655843086	0.02394890615816628	0.00508526244939586	0.09718489968920654	0.376527975663123	2.71E-7	0.011035690879606416	0.005603132485202877	0.02576259011819515	0.019480559707350038	0.12484046816741112	0.00625766062578555	0.0027749986	0.03875050591410098	.	.
