"Group","Coverage"
"Total","438 of 472 (92.8%)"
"IGHV1","77 of 78 (98.72%)"
"IGHV2","39 of 42 (92.86%)"
"IGHV3","179 of 207 (86.47%)"
"IGHV4","112 of 112 (100%)"
"IGHV5","12 of 12 (100%)"
"IGHV6","3 of 3 (100%)"
"IGHV7","12 of 13 (92.31%)"
"IGHV8","4 of 5 (80%)"
