"Group","Coverage"
"Total","15 of 15 (100%)"
"IGHJ1","1 of 1 (100%)"
"IGHJ2","1 of 1 (100%)"
"IGHJ3","2 of 2 (100%)"
"IGHJ4","3 of 3 (100%)"
"IGHJ5","4 of 4 (100%)"
"IGHJ6","4 of 4 (100%)"
